time,trial,percentAsynch,beatSynch,beatAsynch,stimLeft,stimRight
3.2739362,1,120.0,True,False,True,False
4.2740347,1,120.0,True,False,True,False
5.2887559,1,120.0,True,False,True,False
6.2889926,1,120.0,True,False,True,False
7.3041391,1,120.0,True,False,True,False
8.3044015,1,120.0,True,False,True,False
9.3050417,1,120.0,True,False,True,False
10.3209089,1,120.0,True,False,True,False
11.3368339,1,120.0,True,False,True,False
12.3370856,1,120.0,True,False,True,False
13.3516492,1,120.0,True,False,True,False
14.351979,1,120.0,True,False,True,False
15.3524511,1,120.0,True,False,True,False
16.3691203,1,120.0,True,False,True,False
17.3854846,1,120.0,True,False,True,False
18.4017784,1,120.0,True,False,True,False
19.4177484,1,120.0,True,False,True,False
20.4334899,1,120.0,True,False,True,False
21.4486174,1,120.0,True,False,True,False
24.2830165,2,120.0,True,False,True,True
25.2973954,2,120.0,True,False,True,False
26.313242,2,120.0,True,False,True,False
27.3135501,2,120.0,True,False,True,False
28.3300042,2,120.0,True,False,True,True
29.3302531,2,120.0,True,False,True,True
30.3455904,2,120.0,True,False,True,False
31.3613682,2,120.0,True,False,True,False
32.3769151,2,120.0,True,False,True,False
